"state","year","asthma_rate"
"WY",2019,"Suppressed"
NA,2019,"10.7"
"AL",2020,"12.8"
"AK",2020,"Suppressed"
"AZ",2020,"16.3"
"AR",2020,"10.9"
"CA",2020,"11.3"
"CO",2020,"10.0"
"CT",2020,"12.1"
"DE",2020,"Suppressed"
"DC",2020,"Suppressed"
"FL",2020,"10.4"
"GA",2020,"11.1"
"HI",2020,"21.3"
"ID",2020,"12.6"
"IL",2020,"14.1"
"IN",2020,"11.7"
"IA",2020,"14.5"
"KS",2020,"12.0"
"KY",2020,"9.4"
"LA",2020,"10.1"
"ME",2020,"Suppressed"
"MD",2020,"13.4"
"MA",2020,"12.2"
"MI",2020,"13.2"
"MN",2020,"15.6"
"MS",2020,"19.5"
"MO",2020,"9.6"
"MT",2020,"Suppressed"
"NE",2020,"13.9"
"NV",2020,"14.7"
"NH",2020,"Suppressed"
"NJ",2020,"15.5"
"NM",2020,"18.5"
"NY",2020,"17.2"
"NC",2020,"11.9"
"ND",2020,"Suppressed"
"OH",2020,"12.3"
"OK",2020,"15.8"
"OR",2020,"13.4"
"PA",2020,"13.0"
"RI",2020,"Suppressed"
"SC",2020,"15.5"
"SD",2020,"Suppressed"
"TN",2020,"13.4"
"TX",2020,"8.5"
"UT",2020,"9.2"
"VT",2020,"Suppressed"
"VA",2020,"14.0"
"WA",2020,"14.2"
"WV",2020,"Suppressed"
"WI",2020,"14.6"
"WY",2020,"Suppressed"
NA,2020,"12.6"
