"statefips","year","pm25"
1,2016,9.72538637865747
1,2017,9.31875285533363
1,2018,8.91188435753541
1,2019,9.16735249979667
1,2020,8.73033611120618
4,2016,7.08794799669123
4,2017,7.60536790965727
4,2018,7.30536986839979
4,2019,5.91466015547855
4,2020,7.38168011733928
5,2016,8.9969055482802
5,2017,9.0799442230121
5,2018,9.23989980430528
5,2019,8.98595549343025
5,2020,8.31181843714519
6,2016,9.74453985492619
6,2017,10.6130103213385
6,2018,11.6977257742111
6,2019,8.70053940298508
6,2020,12.2526799654257
8,2016,6.46135787051499
8,2017,6.93249444487097
8,2018,7.22728802219858
8,2019,6.44298624872501
8,2020,7.50303308899891
9,2016,7.17269993728042
9,2017,6.45905811259646
9,2018,7.37045994679181
9,2019,7.28353659963316
9,2020,7.66522470588963
10,2016,8.31883225530563
10,2017,8.25362366358713
10,2018,7.87821926728257
10,2019,7.73813154507805
10,2020,7.21207371834981
11,2016,8.82433624263516
11,2017,9.01977425575878
11,2018,8.61348130404837
11,2019,8.25976138363817
11,2020,7.04388816382832
12,2016,7.40945990586497
12,2017,8.09637651049534
12,2018,7.62993270547945
12,2019,7.52212864341893
12,2020,8.01079358558902
13,2016,9.85494882609651
13,2017,9.38560300616578
13,2018,8.87339683899227
13,2019,9.58071583712301
13,2020,8.90826256185652
16,2016,7.1464696744233
16,2017,8.9173821733934
16,2018,7.82507152707548
16,2019,6.38474104072814
16,2020,8.65362901447608
17,2016,9.24038805887492
17,2017,9.13719110313256
17,2018,9.94090277966756
17,2019,9.47161810712232
17,2020,8.973211944033
18,2016,8.99460431030859
18,2017,8.67270758875041
18,2018,9.18667046800625
18,2019,8.98286491224883
18,2020,8.71360255889782
19,2016,7.6805437736049
19,2017,7.8525124483188
19,2018,8.20928071398921
19,2019,7.61987695807389
19,2020,7.64865755208333
20,2016,7.19841941668441
20,2017,7.76290108521615
20,2018,7.98293236434798
20,2019,7.4860404234122
20,2020,8.03170050162484
21,2016,8.74786894557573
21,2017,8.68707483014927
21,2018,8.86562881995209
21,2019,8.54477663001413
21,2020,8.23010351969473
